Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	partition_rate[1]	partition_rate[2]	rate01	rate10	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rate_loss	rate_neo	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	root_freqs[1]	root_freqs[2]	rtfq1	tree_length
0	-524.8442	-550.8476	26.00334	0.0568509	0.121682	0.155592	0.024791	0.332454	0.00578977	0.38729	0.0170892	0.00628876	0.0717813	0.0139269	0.113106	0.0700329	0.228404	0.0610387	0.267681	0.158683	0.105411	0.0409594	0.0479195	0.0903013	0.0819957	0.0297472	0.140003	0.0293212	0.142643	0.113115	0.260733	0.0447792	0.572307	1.17108	0.3179657	1.682034	0.227365	0.485593	0.79822	1.25279	2.05934	4.39821	1.071008	5.289987	0.1954806	0.0176588	0.0377962	0.0483292	0.00770047	0.103266	0.0017984	0.120299	0.00530818	0.00195339	0.0222964	0.00432591	0.0351325	0.0217533	0.0709459	0.0189596	0.0831461	0.0492895	0.0327423	0.0127226	0.0148846	0.0280491	0.0254692	0.00923996	0.043487	0.00910765	0.0443071	0.0351353	0.0809879	0.0139092	0.0204358	0.979564	0.02043576	3.219408
36	-526.8409	-553.4336	26.59264	0.0308485	0.0788453	0.110929	0.100745	0.35507	0.0304775	0.189471	0.0158999	0.00221988	0.0266231	0.0786016	0.0205533	0.0797829	0.102481	0.0225651	0.128146	0.0950685	0.0385993	0.00142059	0.0269325	0.0881047	0.015157	0.0323422	0.0460158	0.140178	0.0165346	0.0468937	0.200232	0.00796211	0.696956	1.12122	0.1995479	1.800452	0.163846	0.413884	0.759405	1.31682	2.41614	6.10329	1.307907	9.022657	0.2486423	0.0144917	0.0370392	0.0521111	0.0473272	0.166801	0.0143174	0.0890081	0.00746932	0.00104283	0.0125068	0.0369247	0.00965535	0.0374796	0.0481425	0.0106004	0.060199	0.0446604	0.0181328	0.000667351	0.0126521	0.041389	0.00712032	0.0151934	0.0216169	0.0658513	0.00776746	0.0220293	0.094063	0.00374036	0.302146	0.697854	0.3021465	2.128699
72	-530.0902	-552.357	22.26687	0.0676115	0.175952	0.209701	0.0845237	0.629388	0.0656745	0.663681	0.0552799	0.0685789	0.114027	0.295286	0.0797624	0.456198	0.192663	0.0277143	0.102536	0.357816	0.0284375	0.0324459	0.156486	0.251882	0.144407	0.0823666	0.0294284	0.279418	0.0630194	0.115313	0.541791	0.0879695	0.222168	1.31113	0.2101605	1.789839	0.412898	0.649599	0.874075	1.14407	1.53941	2.42191	0.6395939	8.516535	0.0677788	0.0123845	0.0322294	0.0384114	0.0154824	0.115286	0.0120297	0.121568	0.0101257	0.0125617	0.0208865	0.054088	0.0146102	0.0835625	0.0352905	0.00507648	0.0187816	0.0655418	0.00520895	0.00594317	0.0286638	0.0461377	0.0264513	0.0150872	0.00539045	0.0511816	0.0115434	0.021122	0.0992408	0.0161135	0.501745	0.498255	0.5017445	5.459358
108	-529.1484	-553.1196	23.97123	0.0365992	0.0348902	0.213424	0.0389379	0.189504	0.00883905	0.211399	0.00581495	0.0639642	0.111297	0.150725	0.0102784	0.0451066	0.317217	0.0219943	0.122298	0.0549801	0.0103067	0.0828354	0.0391884	0.0669163	0.0550605	0.0238331	0.0691509	0.035187	0.0152735	0.104743	0.0848209	0.113436	0.367134	1.25315	0.04268241	1.957318	0.197196	0.453023	0.781117	1.28022	2.20739	5.07108	1.173942	45.85771	0.117188	0.0156539	0.014923	0.0912839	0.0166542	0.0810532	0.00378057	0.0904179	0.00248713	0.0273583	0.047603	0.0644669	0.0043962	0.0192926	0.135677	0.00940724	0.0523083	0.0235157	0.00440831	0.0354297	0.0167613	0.0286209	0.02355	0.0101937	0.0295767	0.0150499	0.00653266	0.0448	0.0362789	0.0485182	0.526939	0.473061	0.5269388	2.338021
144	-522.2332	-547.8107	25.57755	0.026666	0.107959	0.173144	0.0509554	0.201155	0.0270201	0.416398	0.00906971	0.0122594	0.0635759	0.119788	0.0725218	0.16608	0.407391	0.06298	0.142247	0.0146416	0.0793657	0.121447	0.0433076	0.062588	0.062102	0.0363848	0.0438855	0.0345384	0.0768514	0.0661071	0.266772	0.0834001	0.454341	1.21826	0.1774798	1.82252	0.273699	0.531565	0.821067	1.21793	1.88124	3.65366	0.9369007	10.26888	0.1491766	0.00874123	0.0353894	0.0567573	0.0167034	0.0659395	0.0088573	0.136497	0.00297309	0.00401869	0.0208404	0.0392669	0.0237729	0.0544418	0.133545	0.0206451	0.0466293	0.00479958	0.0260164	0.0398107	0.0141964	0.0205166	0.0203573	0.0119271	0.0143858	0.0113218	0.0251922	0.0216702	0.087449	0.0273389	0.796876	0.203124	0.7968764	3.050603
180	-529.5047	-557.2199	27.71518	0.0526475	0.0626737	0.168372	0.0453177	0.132983	0.0072143	0.239805	0.0393368	0.0104929	0.0995044	0.0926965	0.0609373	0.0845516	0.176814	0.0277348	0.0970622	0.0386911	0.041028	0.00658572	0.0161926	0.023193	0.110345	0.00528335	0.0388356	0.0271972	0.0572891	0.0515592	0.0965546	0.0448185	0.771947	1.09122	0.3537296	1.64627	0.158597	0.407363	0.755651	1.32336	2.45481	6.3053	1.331453	4.654036	0.2829661	0.0269198	0.0320464	0.0860921	0.0231719	0.067997	0.00368883	0.122617	0.0201138	0.00536524	0.0508788	0.0473977	0.0311586	0.0432331	0.0904088	0.0141814	0.04963	0.0197836	0.0209785	0.00336742	0.00827963	0.0118591	0.0564219	0.00270149	0.0198575	0.0139065	0.0292932	0.0263633	0.0493704	0.0229167	0.664031	0.335969	0.6640306	1.955716
216	-533.2154	-561.7387	28.52337	0.00453738	0.00370072	0.039805	0.0209422	0.0517416	0.00734869	0.0516857	0.00841446	0.00742178	0.0156034	0.0593097	0.0569335	0.0788366	0.0501413	0.00201015	0.0578357	0.0391836	0.0239045	0.00241668	0.0423097	0.0048802	0.0493366	0.035316	0.0237601	0.0187382	0.00709539	0.014208	0.0589537	0.00579383	0.275052	1.28998	0.2735185	1.726482	0.0536388	0.240084	0.640744	1.56068	4.1652	18.6432	2.115326	6.312121	0.08528871	0.00538776	0.0043943	0.0472651	0.0248671	0.0614389	0.00872596	0.0613724	0.00999147	0.00881274	0.0185278	0.0704254	0.0676038	0.0936119	0.0595386	0.00238689	0.0686751	0.0465272	0.0283846	0.00286961	0.0502392	0.00579483	0.0585831	0.0419348	0.0282132	0.0222501	0.00842519	0.0168708	0.0700026	0.00687969	0.145699	0.854301	0.1456991	0.8421643
252	-546.0534	-574.6938	28.64039	0.00823539	0.0365339	0.0291866	0.0153528	0.0363767	0.00512194	0.155278	0.0636889	0.0182562	0.0143027	0.0716771	0.0329929	0.0421405	0.0725113	0.00903046	0.0472683	0.00524266	0.0166595	0.00642097	0.0160958	0.00379106	0.0104528	0.0633959	0.0669196	0.019761	0.0598984	0.00819885	0.107914	0.000703712	0.910825	1.03567	0.7022867	1.297713	0.026696	0.170834	0.576205	1.73549	5.85364	37.4588	2.619854	1.84784	0.3517822	0.00789278	0.035014	0.0279724	0.0147141	0.0348634	0.00490886	0.148818	0.0610393	0.0174967	0.0137077	0.0686952	0.0316204	0.0403874	0.0694947	0.00865477	0.0453019	0.00502456	0.0159664	0.00615385	0.0154261	0.00363335	0.0100179	0.0607585	0.0641356	0.0189389	0.0574065	0.00785776	0.103425	0.000674437	0.443331	0.556669	0.4433306	1.043408
288	-530.8077	-559.5887	28.78098	0.0105233	0.0143473	0.0528404	0.00695105	0.0711243	0.0117903	0.0315724	0.038808	0.010013	0.0444882	0.0531363	0.0578129	0.0433972	0.0841792	0.0239486	0.0626642	0.027292	0.00488812	0.033683	0.0151463	0.0197158	0.0494998	0.0554375	0.00575095	0.0177065	0.0132365	0.0262972	0.128436	0.0408413	1.07617	0.969533	0.5103059	1.489694	0.0908683	0.310467	0.694253	1.4404	3.22096	11.0049	1.734168	2.919218	0.4439948	0.00996969	0.0135925	0.0500607	0.00658538	0.0673827	0.01117	0.0299115	0.0367665	0.00948623	0.0421478	0.050341	0.0547716	0.0411143	0.0797508	0.0226887	0.0593676	0.0258562	0.00463097	0.031911	0.0143495	0.0186786	0.0468958	0.0525211	0.00544841	0.016775	0.0125402	0.0249138	0.12168	0.0386928	0.189688	0.810312	0.1896885	1.055527
324	-535.8984	-561.1725	25.27418	0.145639	0.0546963	0.190373	0.0763075	0.102949	0.030248	0.276621	0.0429019	0.0255276	0.0774296	0.151256	0.100328	0.0941772	0.162185	0.0427886	0.199608	0.0663328	0.072803	0.0417529	0.102374	0.111758	0.117154	0.145016	0.130955	0.0149529	0.0517755	0.0317111	0.0332155	0.0624511	0.211137	1.31555	0.0845176	1.915482	0.353754	0.602422	0.853755	1.1713	1.65997	2.82682	0.7513793	22.66371	0.06419747	0.052858	0.0198514	0.0690935	0.0276949	0.0373641	0.0109782	0.100396	0.0155707	0.00926495	0.0281022	0.0548967	0.0364128	0.0341805	0.0588631	0.0155296	0.0724455	0.0240747	0.026423	0.0151537	0.0371556	0.0405614	0.0425197	0.0526318	0.0475286	0.00542699	0.0187913	0.0115092	0.0120552	0.0226659	0.723906	0.276094	0.723906	2.755288
